"filename", "language", "HTML", "Python", "JSON", "CSV", "comment", "blank", "total"
"e:\study\fourNext\CapstoneProject\textClassification\app.py", "Python", 0, 49, 0, 0, 11, 14, 74
"e:\study\fourNext\CapstoneProject\textClassification\data\verification.csv", "CSV", 0, 0, 0, 2, 0, 1, 3
"e:\study\fourNext\CapstoneProject\textClassification\templates\index.html", "HTML", 191, 0, 0, 0, 6, 16, 213
"e:\study\fourNext\CapstoneProject\textClassification\templates\viewer.html", "HTML", -66, 0, 0, 0, 0, -5, -71
"e:\study\fourNext\CapstoneProject\textClassification\visualization\classification_tree.json", "JSON", 0, 0, 1466, 0, 0, 0, 1466
"e:\study\fourNext\CapstoneProject\textClassification\visualization\convert_to_json.py", "Python", 0, 36, 0, 0, 6, 11, 53
"e:\study\fourNext\CapstoneProject\textClassification\visualization\create_tree_visualization.py", "Python", 0, 34, 0, 0, 8, 9, 51
"e:\study\fourNext\CapstoneProject\textClassification\visualization\tree_visualization.html", "HTML", 135, 0, 0, 0, 0, 12, 147
"Total", "-", 260, 119, 1466, 2, 31, 58, 1936
